[2025-05-08 12:13:01]  3, pdu_to_send=17, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=18, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=19, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=20, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=21, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=22, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=23, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=24, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=25, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=26, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=27, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=28, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=29, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=30, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=31, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=32, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=33, status=RT , ackedNo=4
[2025-05-08 12:13:01]  3, pdu_to_send=34, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=5, status=TO , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=6, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=7, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=8, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=9, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=10, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=11, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=12, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=13, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=14, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=15, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=16, status=RT , ackedNo=4
[2025-05-08 12:13:01]  4, pdu_to_send=17, status=RT , ackedNo=4
